GEOID_12,med_hou_inc,med_inc_q,below_pov,bach_degre,grad_degre,asian,black,hispanic,white,home_age,loss_n,gain_n,change_5_200,suhi_2013,suhi_2022,suhi_change,tree_area_13_n,tree_area_22_n
42101011000,14983,1,0.531928901,0.04662644,0.010970927,0.5,85.7,3.9,8.5,78,0.047631284,0.066399181,0.018767898,6.947510603,7.819929995,0.872419394,0.113445896,0.130937914
42101016800,15267,1,0.47516679,0.032839963,0.024514339,0.4,79.3,4.4,16.2,83,0.063333562,0.065109775,0.001776205,7.515060332,6.625469671,-0.889590662,0.133680269,0.131713135
42101024100,16042,1,0.470588235,0.106603023,0.079554495,0,71.8,2.7,16.5,83,0.070422358,0.078357608,0.007935243,8.425334147,6.465816587,-1.959517559,0.195949737,0.206672175
42101020000,17531,1,0.62519084,0.052004334,0.010834236,14.2,54.3,20.5,5.8,83,0.044914081,0.031286648,-0.013627443,8.710280047,8.240479841,-0.469800202,0.090045966,0.073927527
42101014700,18041,1,0.615704388,0.188571429,0.022857143,8.5,38.6,9.4,39.5,49,0.046247539,0.061215608,0.014968078,7.510979054,8.670675928,1.159696876,0.093588281,0.108186744
42101024500,19589,1,0.488438555,0.182201603,0.029523408,0.9,93.1,1.4,4.4,75,0.086817658,0.079093265,-0.007724392,6.184880728,6.168981614,-0.015899118,0.264998407,0.258232748
42101018801,20010,1,0.574141519,0.021238938,0,0,5.2,76.3,21.7,83,0.033045502,0.039485239,0.006439743,10.77196721,9.304476121,-1.467491083,0.067232276,0.072374066
42101028200,20674,1,0.2837345,0.196053469,0.060789306,3.5,89.8,4.4,4.3,72,0.042449151,0.04359399,0.001144839,8.866792364,9.179501536,0.312709172,0.127453902,0.125141674
42101016400,20915,1,0.448003943,0.03410596,0.011589404,3.4,29.1,67,7.2,83,0.050423266,0.04987217,-0.000551108,8.11241814,6.007624973,-2.104793164,0.106499858,0.102403709
42101008802,21064,1,0.699014171,0.242999097,0.393857272,25.5,18.6,13,46.9,83,0.051214832,0.076804534,0.025589687,6.278858411,8.546694963,2.26783655,0.12220825,0.14997947
42101014100,21081,1,0.370853081,0.140491453,0.094551282,14.3,50.7,7.5,26.3,35,0.043807397,0.04577526,0.001967855,8.160950875,7.308381399,-0.852569471,0.081306377,0.081255392
42101017300,21210,1,0.363595707,0.127463863,0.051905388,0,74.2,18.7,7.9,72,0.029831068,0.047239389,0.017408324,8.519536355,6.75221235,-1.767324007,0.057646822,0.067599531
42101037700,22244,1,0.413308341,0.092726263,0.006662965,5.6,38.6,15.1,39.7,29,0.062485228,0.049455947,-0.013029286,7.190413273,7.360965221,0.170551946,0.119185883,0.103907834
42101029400,22649,1,0.540880503,0.012435233,0.006217617,2,43.7,43.5,22.2,83,0.041992818,0.037443804,-0.004549019,8.437124763,9.112022437,0.674897676,0.088577904,0.084006333
42101016902,22880,1,0.375131718,0.060995851,0.034854772,0,92.4,1.1,0,83,0.071378845,0.054890658,-0.01648819,8.375874964,7.77773981,-0.598135154,0.106579007,0.08835252
42101019501,23031,1,0.485094205,0.067730496,0.004255319,0,3.6,88.5,19.8,83,0.029080102,0.031792345,0.002712241,9.536052759,6.859677322,-2.676375435,0.04703882,0.048434518
42101019200,23239,1,0.487186091,0.013789824,0.009510223,5.3,22.4,69.2,11.6,83,0.034497054,0.026118589,-0.008378464,11.27734286,8.906758711,-2.370584143,0.050179877,0.041020694
42101030100,23897,1,0.388501163,0.145693721,0.078927774,6.2,39.9,37,17.7,83,0.070690973,0.061619133,-0.009071859,5.933620389,1.454199853,-4.479420536,0.218781381,0.209305222
42101015102,23924,1,0.35434489,0.024915825,0.038047138,0.6,93.6,2.6,1.1,83,0.075664882,0.068986251,-0.006678628,7.55481353,8.628806673,1.073993141,0.137683172,0.127833205
42101028400,24872,1,0.452576112,0.057569296,0.028997868,13.3,74.7,9.6,9.4,79,0.024683437,0.0467295,0.02204606,7.932384264,6.779435751,-1.152948511,0.073597733,0.088273195
42101010600,25000,1,0.459656085,0.059753954,0.009666081,4.1,81.2,5.3,7.7,67,0.047843643,0.071396196,0.023552546,7.413395115,9.317199331,1.903804217,0.118907296,0.138987492
42101019900,25810,1,0.488983653,0.033227289,0.014846235,0,51.8,53.9,5.6,83,0.031094782,0.036893552,0.005798764,9.105367754,7.736494415,-1.368873339,0.061399471,0.061670191
42101017201,25865,1,0.292376318,0.051569507,0.073542601,0.9,92.7,3.7,0.5,80,0.05909276,0.040532844,-0.018559921,9.688159436,6.554009978,-3.13414946,0.080328845,0.060557979
42101016500,26172,1,0.424991534,0.118755891,0.018378888,1.5,87.8,11.3,5.5,83,0.077835664,0.052550526,-0.025285148,7.511781577,5.54081034,-1.970971235,0.168588478,0.14481654
42101020101,26256,1,0.4480563,0.094600081,0.073893626,3.3,91.8,5.3,1.7,83,0.059791804,0.06053515,0.000743346,7.621214837,5.795789372,-1.825425466,0.139454931,0.139014918
42101009400,26338,1,0.398364815,0.042450941,0.020024029,0,92.4,1,1.1,80,0.035600052,0.058981116,0.023381062,8.63344377,10.65035602,2.016912246,0.073702686,0.091676851
42101017601,27088,1,0.496261047,0.038910506,0.005305978,0,9.9,85.7,26.5,83,0.03280304,0.030860652,-0.001942386,9.087842044,8.304705167,-0.783136879,0.045835404,0.041532213
42101017100,27112,1,0.268916155,0.063981935,0.021076402,0.8,90.3,9.2,2,83,0.036857707,0.053214941,0.016357237,9.263802563,7.425465958,-1.838336607,0.109230115,0.117875114
42101009100,27266,1,0.473916238,0.223392461,0.234478936,25.4,30.9,6.8,33.3,68,0.057127562,0.061734921,0.004607362,7.345869214,8.495392537,1.149523323,0.12555252,0.135408603
42101016901,27479,1,0.30764774,0.081110705,0.010595543,1.2,90.8,4,3,83,0.061890952,0.052033106,-0.009857849,8.499300114,8.023143851,-0.476156262,0.111666062,0.098922919
42101025200,27675,1,0.342530283,0.139508507,0.062381853,0.4,87.2,5.8,9,83,0.072159599,0.081830947,0.009671347,5.920358864,6.253733999,0.333375136,0.202170621,0.210186235
42101019700,27979,1,0.508997027,0.037180106,0.021970063,3.7,15.7,79.9,14.5,83,0.032831033,0.030279759,-0.002551279,9.648115358,7.739738544,-1.908376812,0.060976785,0.057490248
42101015300,28037,1,0.48733536,0.053228621,0.079406632,9.4,41.6,6.8,43,72,0.042124787,0.04616423,0.004039439,8.341156641,6.521092221,-1.820064423,0.082918154,0.085876625
42101019502,28205,1,0.504938989,0.052421368,0.021467798,0.8,3.9,92,19.5,83,0.034415217,0.02442966,-0.009985556,8.853595862,5.311896998,-3.541698862,0.053656508,0.043818827
42101011200,28393,1,0.502317819,0.056420233,0.036640726,0,95.4,2.1,0.9,83,0.047860318,0.066331274,0.018470953,9.724305707,8.571093494,-1.153212215,0.116013911,0.130608331
42101017702,28750,1,0.580532213,0.060097051,0.008212019,2.5,12.2,79,17.6,83,0.039816957,0.030698264,-0.009118696,9.195511254,8.3186382,-0.876873055,0.054829564,0.045240301
42101024900,28855,1,0.395632087,0.090470446,0.015078408,0,93.4,0,2.3,79,0.053816519,0.058354155,0.004537635,9.756855934,6.813563072,-2.943292862,0.11937037,0.119865074
42101010800,29142,1,0.383476228,0.179507866,0.062525212,4,74.6,3.9,8.6,83,0.061922681,0.062868293,0.000945613,6.287954462,8.754142978,2.466188512,0.133186608,0.131762385
42101010200,29375,1,0.341304348,0.078283945,0.121185316,0,94.9,6.2,4.6,83,0.031318211,0.063399132,0.032080931,9.168316597,10.01745085,0.849134253,0.091359678,0.120013819
42101014900,29458,1,0.504788306,0.09102091,0.119721197,0.9,78.7,10.1,4.7,83,0.086737785,0.04905078,-0.037687006,7.843816673,9.17463117,1.330814498,0.121742957,0.081019151
42101036902,29464,1,0.565836299,0.357575758,0.367272727,23.1,13.9,5.7,54.4,14,0.022498997,0.068478621,0.045979614,8.081542534,8.857020385,0.775477853,0.066987731,0.114346532
42101017500,30149,1,0.393277058,0.014998973,0.005753031,0,26.5,70.7,22.6,83,0.045577521,0.043561847,-0.002015685,8.516774476,6.882905901,-1.633868575,0.092084819,0.085035408
